"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"122","LEC","Nxn",1.42172903557758,4.51218837137812e-05,0.966014408428342,1,0.317
"123","LEC","Cinp",1.24434812594175,6.03999367661543e-05,1,0.5,0.152
"124","LEC","Selenop",1.40904506362725,6.42503655167853e-05,1,1,0.736
"125","LEC","Ltbp4",2.02820244132111,6.95136244205469e-05,1,0.5,0.231
"126","LEC","Abi3bp",1.8859956352485,7.31604768309776e-05,1,0.75,0.07
"127","LEC","Cavin2",1.43532203877717,8.04667282362634e-05,1,1,0.458
"128","LEC","Ston2",1.14089177444725,8.76225408703032e-05,1,0.75,0.042
"129","LEC","Cops9",1.11932533546719,9.7252430688971e-05,1,0.25,0.283
"130","LEC","Gpm6a",1.60227466494948,0.000103775081643091,1,1,0.144
"131","LEC","Nenf",1.4053128133704,0.000104578557053217,1,1,0.547
"132","LEC","Vdac3",1.24439378699788,0.000115742900107812,1,1,0.634
"133","LEC","Prelp",1.85088251455869,0.000118921584277368,1,0.75,0.063
"134","LEC","Cdc42ep5",1.36949761613336,0.000180738159482397,1,0.75,0.074
"135","LEC","Ugcg",1.4683835385848,0.000184807288452928,1,0.5,0.249
"136","LEC","Ahnak2",1.61587523870318,0.000224947902014732,1,0.5,0.057
"137","LEC","Cd9",1.39939122502185,0.000234630375214833,1,1,0.77
"138","LEC","Man2b2",1.33199510361056,0.000265625454636851,1,0.5,0.066
"139","LEC","Gucy1a1",2.17112997103838,0.000280081837210043,1,0.5,0.003
"140","LEC","Mzt2",1.27163886448492,0.000316873283988794,1,0.5,0.107
"141","LEC","Sdccag3",1.1592657108411,0.000338275769149255,1,0.75,0.307
"142","LEC","Cyp4f13",1.3274202787208,0.000345748757668523,1,0.5,0.066
"143","LEC","Stx3",1.12930362796543,0.000367437808048455,1,0.75,0.252
"144","LEC","Abca3",1.27683486467491,0.000380384132199086,1,0.5,0.107
"145","LEC","Tbx1",1.679877096866,0.00038919509961396,1,0.75,0.042
"146","LEC","Tia1",1.0614726227079,0.000402924679249975,1,0.5,0.278
"147","LEC","Ppp1r14a",1.39900672622943,0.000413345710219024,1,0.5,0.011
"148","LEC","Tppp3",1.35477385031779,0.000471921708635235,1,0.5,0.044
"149","LEC","Megf6",1.3767342753654,0.000484857969953943,1,0.5,0.028
"150","LEC","Pacsin3",1.08257512127263,0.000564182124621173,1,0.5,0.006
"151","LEC","Hcfc1r1",1.04570954663774,0.000611060756821653,1,0.5,0.288
"152","LEC","Mrpl15",1.13442469334261,0.000641889625662852,1,0.75,0.291
"153","LEC","Gmfg",1.12791659586427,0.000778109377473707,1,0.75,0.162
"154","LEC","Nts",2.48744196841919,0.000836506167897048,1,0.5,0.015
"155","LEC","Sulf2",1.09194641593756,0.000894097273004482,1,0.75,0.063
"156","LEC","Thy1",1.04828867749904,0.000947223971729656,1,0.5,0.006
"157","LEC","Smg6",1.13713950260389,0.00099910071959409,1,0.75,0.286
"158","LEC","Ecm2",1.36402594387788,0.00102323198173556,1,0.75,0.089
"159","LEC","Ctsd",1.11225604460115,0.00106796413811217,1,0.75,0.646
"160","LEC","Stc2",1.50589057628292,0.0011143571303024,1,0.5,0.016
"161","LEC","Nqo1",1.15243823257852,0.00112665820239706,1,0.75,0.091
"162","LEC","Plscr3",1.17568061208855,0.00123174854993269,1,0.75,0.236
"163","LEC","Rassf9",1.08534460970522,0.00125386977574528,1,0.5,0.223
"164","LEC","Rwdd1",1.11277285202539,0.00135180616865215,1,1,0.555
"165","LEC","Sgk3",1.18532129890363,0.00136872042782856,1,0.5,0.131
"166","LEC","Cxxc5",1.22004349426014,0.0015715964731539,1,0.75,0.168
"167","LEC","Tgfb1i1",1.11531836404273,0.00160038317889096,1,0.75,0.298
"168","LEC","Grap",1.32976964045927,0.00171048813571498,1,1,0.367
"169","LEC","Cpne2",1.1667151935513,0.00171824458514427,1,0.75,0.241
"170","LEC","Prcc",1.10808136965347,0.00174850395835762,1,0.75,0.16
"171","LEC","Tgfbi",1.29561768723933,0.00183013300747743,1,0.75,0.094
"172","LEC","Fxyd6",1.35794953632501,0.00193703010113296,1,1,0.181
"173","LEC","Vkorc1",1.14706640464566,0.00195856168269035,1,0.75,0.252
"174","LEC","Acaa1a",1.09552671347474,0.00223146255174039,1,0.75,0.165
"175","LEC","Scn1b",1.28484476549157,0.002232415445463,1,0.75,0.524
"176","LEC","Ndufa3",1.1740347585495,0.00232814518242333,1,0.75,0.227
"177","LEC","Plcb4",1.13980923451941,0.00246378325929085,1,0.75,0.256
"178","LEC","Dusp2",1.22600966572008,0.00315711600303829,1,0.5,0.248
"179","LEC","Epb41l2",1.06365783512104,0.00324903243885111,1,0.75,0.338
"180","LEC","Nectin2",1.0635559271307,0.00393210876328151,1,0.75,0.168
"181","LEC","Nsg1",1.30136148505508,0.00404805926945357,1,0.5,0.218
"182","LEC","Eps15",1.2634993248528,0.0043112321707621,1,0.5,0.222
"183","LEC","Arl4a",1.54398679464,0.00431483646032104,1,0.75,0.61
"184","LEC","Glud1",1.12565712358862,0.00434307957595217,1,0.75,0.654
"185","LEC","Dpysl2",1.29414682147072,0.00449371951442299,1,0.5,0.327
"186","LEC","Nr3c2",1.13362921922095,0.00462171945446451,1,0.5,0.05
"187","LEC","Fcgrt",1.03712939888188,0.00467352668263306,1,1,0.561
"188","LEC","Pard6g",1.04829291498126,0.00470988859362714,1,0.75,0.099
"189","LEC","Tulp4",1.08177170730711,0.00541677557376926,1,0.75,0.497
