"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"3102","22","Satb1",1.91689912494297,1.90196470781656e-306,4.07191624296447e-302,0.667,0.035
"3103","22","Shisa5",1.44016779479759,5.05862833113166e-272,1.08300173941198e-267,0.775,0.487
"3104","22","Rps27",1.27815313790999,1.64343668137991e-262,3.51843359116624e-258,0.995,0.982
"3105","22","Vps37b",1.6967339360318,6.83297666484457e-233,1.46287197417657e-228,0.694,0.297
"3106","22","Gramd3",1.41259170500536,1.19318213094883e-230,2.55448362414836e-226,0.468,0.133
"3107","22","Rps24",1.14964262474354,3.40064215912103e-224,7.28043479846222e-220,1,0.997
"3108","22","Stk17b",1.56721576115507,4.65520566164085e-224,9.96632980100691e-220,0.73,0.299
"3109","22","Fau",0.999540691516883,4.91702073760675e-213,1.05268496971423e-208,1,0.996
"3110","22","Limd2",1.64276233261004,5.84653351984696e-209,1.25168436126404e-204,0.653,0.057
"3111","22","Sept1",1.29797389159226,8.62110035341446e-209,1.8456913746625e-204,0.482,0.066
"3112","22","Cytip",2.03623654921161,2.91747952978118e-205,6.24603192530853e-201,0.761,0.031
"3113","22","Ostf1",1.4030196830484,2.99731266540194e-197,6.416946685359e-193,0.667,0.442
"3114","22","Ptprc",1.78434791829069,9.02467744209117e-197,1.9320931935773e-192,0.676,0.041
"3115","22","Rpl18a",1.04205495908447,5.73941037704694e-196,1.22875036762198e-191,0.995,0.992
"3116","22","Coro1a",1.91939037551107,8.53850506920754e-194,1.82800855026664e-189,0.739,0.056
"3117","22","Ms4a4b",2.01349337872986,2.78794712572665e-192,5.96871600146818e-188,0.441,0.001
"3118","22","Gimap1",1.37924352768359,1.00058394296643e-188,2.14215016349684e-184,0.486,0.012
"3119","22","Trbc2",2.11954384215539,1.51001595833697e-182,3.23279316520361e-178,0.446,0.013
"3120","22","Rpl12",1.22829575945666,9.55825557307454e-180,2.04632693563953e-175,0.982,0.936
"3121","22","Cd37",1.50672261223395,4.92696022212527e-179,1.0548129139548e-174,0.527,0.02
"3122","22","Cd53",1.76535250733366,6.93869607468349e-176,1.48550544262899e-171,0.73,0.062
"3123","22","Rps15a",1.01669994408304,2.18591861630155e-173,4.67983316564e-169,0.995,0.989
"3124","22","Cd79a",2.69664061314282,4.46244858963386e-171,9.55365618554714e-167,0.347,0.005
"3125","22","Cd2",1.39640083779145,2.69441476890673e-167,5.76847257875242e-163,0.392,0.001
"3126","22","Gm8369",1.31061355022468,1.41788847402349e-165,3.03555743403689e-161,0.378,0
"3127","22","Stk24",1.06307814312412,6.39491126601122e-161,1.36908655294034e-156,0.455,0.247
"3128","22","Dgat1",1.24727450857485,1.6811477409249e-160,3.59916919854611e-156,0.351,0.117
"3129","22","Arhgap45",1.3328114852686,8.02226063503195e-160,1.71748577935399e-155,0.473,0.015
"3130","22","Trbc1",1.68504167083189,6.50924162026882e-159,1.39356353848335e-154,0.365,0
"3131","22","Ptprcap",1.29927489873878,3.07859407946525e-158,6.59096206472715e-154,0.378,0.001
"3132","22","Cd3d",1.40779166307864,4.93154025185409e-156,1.05579345251944e-151,0.369,0.001
"3133","22","Rac2",1.60539926397113,1.0439776275352e-154,2.23505170279012e-150,0.608,0.049
"3134","22","Smap2",1.01294788227949,4.48686801264652e-154,9.60593572827493e-150,0.464,0.164
"3135","22","Cd52",2.09681465052486,1.04555334906793e-152,2.23842516501954e-148,0.743,0.062
"3136","22","Il2rb",1.40458500674543,2.79591605916842e-152,5.98577669107367e-148,0.365,0.001
"3137","22","Txk",1.26277904884524,7.10515500700376e-152,1.52114263544943e-147,0.378,0.003
"3138","22","Tnfrsf18",1.09255540913367,3.2357345186147e-149,6.92738403090222e-145,0.32,0.008
