"","gene","SC"
"1","Sox17",0.45619597028242
"2","Mrpl15",0.558258275935345
"3","Lypla1",0.318574841327585
"4","Tcea1",1.15826069388438
"5","Atp6v1h",0.705917289294702
"6","Rb1cc1",0.997820891476998
"7","Pcmtd1",0.761292196258155
"8","Rrs1",0.960769964614912
"9","Vcpip1",0.338741106180325
"10","Snhg6",0.379872551894686
"11","Cops5",0.562366533079148
"12","Arfgef1",0.932209766971291
"13","Prex2",0.983688198760866
"14","Tram1",0.617624356646177
"15","Rpl7",21.2043938291203
"16","Rdh10",0.521262136957715
"17","Ube2w",0.548446406851682
"18","Eloc",3.11681472278279
"19","Tmem70",0.363684698388972
"20","Ly96",0.859448518539648
"21","Mcm3",0.447935011711855
"22","Smap1",1.12937008529007
"23","Lmbrd1",0.553476210091527
"24","Phf3",1.2080033064807
"25","Ptp4a1",1.91455324477396
"26","Zfp451",0.51552334060139
"27","Dst",2.66909734810151
"28","Ccdc115",0.543434942261201
"29","Imp4",0.706268378105325
"30","Ptpn18",0.484301773174579
"31","Fam168b",0.455345838872464
"32","Uggt1",0.34259580153612
"33","Neurl3",1.14259827571136
"34","Arid5a",1.10764135347051
"35","Kansl3",0.383728180917591
"36","Cox5b",4.72793449289817
"37","Actr1b",0.327450976362625
"38","Tmem131",0.31918355480649
"39","Unc50",0.635901242413585
"40","Mitd1",0.744842641688841
"41","Mrpl30",1.71337091783563
"42","Txndc9",1.45218075030038
"43","Eif5b",1.84411507369553
"44","Pdcl3",0.867628650036707
"45","Rpl31",4.47319543761664
"46","Map4k4",5.08291358753835
"47","Il1r1",0.590260810021215
"48","Mrps9",0.316339295397902
"49","Tpp2",1.00041040331596
"50","Tex30",0.309996684154171
"51","Wdr75",0.512510204244202
"52","Slc39a10",0.574438602723287
"53","Cavin2",0.893095054454061
"54","Myo1b",0.510965417544497
"55","Stat1",1.27444541207551
"56","Gls",1.92667043238219
"57","Nab1",1.18077501397285
"58","Sf3b1",3.89464807098997
"59","Coq10b",2.31708251431501
"60","Hspd1",1.74728034405195
"61","Hspe1",2.53232821711024
"62","Mob4",1.98051354054131
"63","Maip1",0.41675910666763
"64","Bzw1",2.80627520643079
"65","Clk1",1.73290466363971
"66","Ndufb3",0.689126885188173
"67","Cflar",1.66335666108588
"68","Casp8",0.866545256265958
"69","Trak2",0.358362173695094
"70","Sumo1",4.56952960520014
"71","Nop58",2.09651023152434
"72","Bmpr2",1.84577974684784
"73","Wdr12",0.473329007391303
"74","Nbeal1",0.601020219508624
"75","Cyp20a1",0.413704013758712
"76","Raph1",0.529934310126065
"77","Nrp2",6.61843536050304
"78","Ino80d",0.529436386532924
"79","Eef1b2",8.89408935608952
"80","Klf7",1.34889207501681
"81","Creb1",0.320218078244249
